distributor_id,industry,sku,category,sales,avg_quarterly_sales,movement_category,quarter,year,total_quarter_sales,prev_quarter_sales,is_diwali,is_ganesh_chaturthi,is_gudi_padwa,is_eid,is_akshay_tritiya,is_dussehra_navratri,is_onam,is_christmas,time_idx
DIST036,Healthcare,Adidas Running Shoes,Sports,1558.52,1700.72,Fast Moving,1,2023,1558.52,3287.29,0,0,1,1,0,0,0,0,26494
DIST036,Healthcare,Adidas Running Shoes,Sports,1754.87,1700.72,Fast Moving,2,2022,1754.87,1764.7,0,0,1,0,1,0,0,0,26491
DIST036,Healthcare,Adidas Running Shoes,Sports,1980.47,1700.72,Fast Moving,3,2022,1980.47,1754.87,0,1,0,1,0,1,1,0,26492
DIST036,Healthcare,Adidas Running Shoes,Sports,2454.11,1700.72,Fast Moving,3,2023,2454.11,1779.72,0,1,0,1,0,1,1,0,26496
DIST036,Healthcare,Asian Paints Tractor Emulsion,Paint and ancillaries,47096.92,22882.43,Medium,2,2024,47096.92,22555.95,0,0,1,1,1,0,0,0,26589
DIST036,Healthcare,Asian Paints Tractor Emulsion,Paint and ancillaries,34803.75,22882.43,Fast Moving,3,2024,34803.75,47096.92,0,1,0,0,0,1,1,0,26590
DIST036,Healthcare,Asian Paints Tractor Emulsion,Paint and ancillaries,30561.49,22882.43,Slow Moving,3,2023,30561.49,41582.28,0,1,0,1,0,1,1,0,26586
DIST036,Healthcare,Bajaj Mixer Grinder,Home Goods,6097.1,7816.7,Fast Moving,1,2023,6097.1,9669.42,0,0,1,1,0,0,0,0,27290
DIST036,Healthcare,Bajaj Mixer Grinder,Home Goods,7224.99,7816.7,Slow Moving,3,2024,7224.99,5801.24,0,1,0,0,0,1,1,0,27296
DIST036,Healthcare,Basil Rubber Chew Toy,Pet Supplies,13367.99,10800.74,Slow Moving,1,2024,13367.99,14246.21,0,0,1,1,0,0,0,0,26695
DIST036,Healthcare,Basil Rubber Chew Toy,Pet Supplies,13838.85,10800.74,Slow Moving,2,2024,13838.85,13367.99,0,0,1,1,1,0,0,0,26696
DIST036,Healthcare,Basil Rubber Chew Toy,Pet Supplies,16973.78,10800.74,Medium,3,2022,16973.78,13957.0,0,1,0,1,0,1,1,0,26691
DIST036,Healthcare,Berger Easy Clean,Paint and ancillaries,9783.97,8913.79,Fast Moving,2,2023,9783.97,4584.31,0,0,1,0,1,0,0,0,26762
DIST036,Healthcare,Berger Easy Clean,Paint and ancillaries,7831.51,8913.79,Fast Moving,4,2023,7831.51,6976.67,1,0,0,0,0,1,0,1,26764
DIST036,Healthcare,Borosil Glass Set,Home Goods,2355.06,2770.72,Slow Moving,3,2023,2355.06,2544.14,0,1,0,1,0,1,1,0,27177
DIST036,Healthcare,Bosch Wiper Blades,Automotive,8001.09,6474.21,Medium,3,2024,8001.09,8684.82,0,1,0,0,0,1,1,0,27134
DIST036,Healthcare,Bosch Wiper Blades,Automotive,7702.03,6474.21,Medium,3,2023,7702.03,6543.16,0,1,0,1,0,1,1,0,27131
DIST036,Healthcare,Bosch Wiper Blades,Automotive,8631.92,6474.21,Slow Moving,3,2022,8631.92,6807.08,0,1,0,1,0,1,1,0,27128
DIST036,Healthcare,Bosch Wiper Blades,Automotive,11084.39,6474.21,Slow Moving,4,2023,11084.39,7702.03,1,0,0,0,0,1,0,1,27132
DIST036,Healthcare,Cadbury Dairy Milk Chocolate,Food,15826.95,12480.74,Medium,3,2024,15826.95,14690.06,0,1,0,0,0,1,1,0,26927
DIST036,Healthcare,Carrom Board Full Size,Toys,3263.17,5188.35,Fast Moving,2,2024,3263.17,2162.22,0,0,1,1,1,0,0,0,26882
DIST036,Healthcare,Carrom Board Full Size,Toys,4327.14,5188.35,Fast Moving,3,2024,4327.14,3263.17,0,1,0,0,0,1,1,0,26883
DIST036,Healthcare,Carrom Board Full Size,Toys,3577.69,5188.35,Fast Moving,3,2022,3577.69,2785.76,0,1,0,1,0,1,1,0,26875
DIST036,Healthcare,Carrom Board Full Size,Toys,5802.85,5188.35,Slow Moving,4,2024,5802.85,4327.14,1,0,0,0,0,1,0,1,26884
DIST036,Healthcare,Cello Finesse Dinner Set,Home Goods,2026.91,2944.2,Medium,1,2023,2026.91,4314.29,0,0,1,1,0,0,0,0,26715
DIST036,Healthcare,Cello Finesse Dinner Set,Home Goods,2330.11,2944.2,Fast Moving,1,2022,2330.11,4746.66,0,0,1,1,0,0,0,0,26711
DIST036,Healthcare,Cello Finesse Dinner Set,Home Goods,4314.29,2944.2,Fast Moving,4,2022,4314.29,3002.57,1,0,0,0,0,1,0,1,26714
DIST036,Healthcare,Cetaphil Gentle Skin Cleanser,Health,2274.23,4301.95,Medium,1,2023,2274.23,4665.11,0,0,1,1,0,0,0,0,27015
DIST036,Healthcare,Cetaphil Gentle Skin Cleanser,Health,2819.25,4301.95,Fast Moving,2,2022,2819.25,2615.59,0,0,1,0,1,0,0,0,27012
DIST036,Healthcare,Chess Set Wooden,Toys,9462.61,12565.45,Fast Moving,1,2023,9462.61,14354.81,0,0,1,1,0,0,0,0,27223
DIST036,Healthcare,Chess Set Wooden,Toys,13677.0,12565.45,Slow Moving,3,2024,13677.0,12388.0,0,1,0,0,0,1,1,0,27228
DIST036,Healthcare,Classmate Notebook Set,Office Supplies,4045.91,5049.67,Medium,3,2024,4045.91,3646.61,0,1,0,0,0,1,1,0,27367
DIST036,Healthcare,Classmate Notebook Set,Office Supplies,5764.82,5049.67,Fast Moving,4,2022,5764.82,4461.91,1,0,0,0,0,1,0,1,27360
DIST036,Healthcare,Columbia Hiking Backpack,Sports,5634.95,7917.89,Medium,1,2022,5634.95,11494.83,0,0,1,1,0,0,0,0,27310
DIST036,Healthcare,Columbia Hiking Backpack,Sports,12002.05,7917.89,Fast Moving,3,2022,12002.05,7349.04,0,1,0,1,0,1,1,0,27312
DIST036,Healthcare,Columbia Hiking Backpack,Sports,11297.22,7917.89,Fast Moving,3,2023,11297.22,9577.8,0,1,0,1,0,1,1,0,27316
DIST036,Healthcare,Cosco Volleyball,Sports,435.3,838.75,Fast Moving,2,2023,435.3,494.38,0,0,1,0,1,0,0,0,26992
DIST036,Healthcare,Cosco Volleyball,Sports,591.36,838.75,Slow Moving,3,2023,591.36,435.3,0,1,0,1,0,1,1,0,26993
DIST036,Healthcare,Cosco Volleyball,Sports,673.05,838.75,Slow Moving,3,2024,673.05,568.91,0,1,0,0,0,1,1,0,26997
DIST036,Healthcare,Disney Princess Doll,Toys,2105.12,3623.32,Fast Moving,3,2022,2105.12,1442.34,0,1,0,1,0,1,1,0,26376
DIST036,Healthcare,Disney Princess Doll,Toys,3031.44,3623.32,Medium,4,2022,3031.44,2105.12,1,0,0,0,0,1,0,1,26377
DIST036,Healthcare,Ensure Protein Powder,Health,7986.41,6692.47,Fast Moving,2,2023,7986.41,8354.78,0,0,1,0,1,0,0,0,26402
DIST036,Healthcare,Ensure Protein Powder,Health,10832.83,6692.47,Medium,2,2024,10832.83,8196.16,0,0,1,1,1,0,0,0,26406
DIST036,Healthcare,Ensure Protein Powder,Health,8896.0,6692.47,Slow Moving,2,2022,8896.0,7325.91,0,0,1,0,1,0,0,0,26398
DIST036,Healthcare,Ensure Protein Powder,Health,10625.34,6692.47,Medium,3,2023,10625.34,7986.41,0,1,0,1,0,1,1,0,26403
DIST036,Healthcare,Ensure Protein Powder,Health,13652.69,6692.47,Fast Moving,4,2022,13652.69,10940.39,1,0,0,0,0,1,0,1,26400
DIST036,Healthcare,Exide Battery 65Ah,Automotive,33114.12,36472.36,Fast Moving,1,2022,33114.12,69930.74,0,0,1,1,0,0,0,0,27034
DIST036,Healthcare,Exide Battery 65Ah,Automotive,68141.65,36472.36,Medium,3,2024,68141.65,46783.7,0,1,0,0,0,1,1,0,27043
DIST036,Healthcare,Exide Battery 65Ah,Automotive,58727.27,36472.36,Medium,3,2023,58727.27,56306.13,0,1,0,1,0,1,1,0,27040
DIST036,Healthcare,Funskool Monopoly,Toys,2841.23,3982.36,Medium,2,2023,2841.23,2282.93,0,0,1,0,1,0,0,0,26540
DIST036,Healthcare,Funskool Monopoly,Toys,3320.79,3982.36,Slow Moving,3,2023,3320.79,2841.23,0,1,0,1,0,1,1,0,26541
DIST036,Healthcare,Funskool Monopoly,Toys,4452.24,3982.36,Medium,4,2023,4452.24,3320.79,1,0,0,0,0,1,0,1,26542
DIST036,Healthcare,Haldiram's Bhujia,Food,22786.89,22105.21,Slow Moving,2,2023,22786.89,18830.22,0,0,1,0,1,0,0,0,26670
DIST036,Healthcare,Haldiram's Bhujia,Food,35544.96,22105.21,Slow Moving,2,2024,35544.96,26905.8,0,0,1,1,1,0,0,0,26674
DIST036,Healthcare,Haldiram's Bhujia,Food,38916.03,22105.21,Fast Moving,3,2024,38916.03,35544.96,0,1,0,0,0,1,1,0,26675
DIST036,Healthcare,Hasbro Gaming Jenga,Toys,450.86,845.34,Medium,1,2022,450.86,956.84,0,0,1,1,0,0,0,0,26601
DIST036,Healthcare,Hasbro Gaming Jenga,Toys,803.62,845.34,Slow Moving,3,2024,803.62,716.44,0,1,0,0,0,1,1,0,26610
DIST036,Healthcare,Hasbro Gaming Jenga,Toys,701.55,845.34,Medium,3,2022,701.55,582.67,0,1,0,1,0,1,1,0,26603
